	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p01	42	Master Degree	Chester	Male	p01	132.17126467865995	232.6796335447269	Perrins	Financier	Democrat	-1	-2	3	3	3	2	2	9	Christian	True		0	42	-1
p05	43	Law Degree	Scott	Male	p05	165.74439843365275	220.5862376970941	Olivarez	Lawyer	Democrat	-1	-2	2	3	1	3	2	2	Christian	True		0	43	-1
p23	45	Bachelor Degree	Benny	Male	p23	196.58642081117517	285.9931200477742	Burns	Business	Democrat	-2	-3	2	1	3	2	3	15	Christian	True		4	45	-2
p97	53	Law Degree	Scott	Male	p97	347.599899146871	229.99745713304173	Mcdaniel	Judge	Democrat	-1	-2	1	1	2	1	2	12	Christian	True		0	53	-1
p54	58	PhD	Lloyd	Male	p54	448.150496864371	275.3208749643818	Powell	Engineer	Democrat	-1	-2	1	2	2	2	1	6	Christian	True		0	58	-2
p50	60	Law Degree	Kenneth	Male	p50	494.90066257560574	339.0369706867017	Luthi	Lawyer	Democrat	-1	-3	0	1	2	2	2	3	Christian	True		1	60	-3
p24	63	Bachelor Degree	Barbara	Female	p24	547.7242879383125	275.4306860718199	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		3	63	-2
p88	63	High School	John	Male	p88	561.7217307788663	279.9084750944576	Knight	Farmer	Democrat	-1	-2	2	2	2	2	2	5	Mormon	True		3	63	-2
p48	64	Master Degree	Judy	Female	p48	579.0130855833957	278.0972442568454	Davis	Educator	Democrat	-1	-2	1	3	2	0	3	3	Christian	True		3	64	-2
p65	67	Master Degree	Ernestine	Female	p65	626.516511330739	280.8960808197847	Livengood	Educator	Democrat	-1	-2	2	2	3	2	2	8	Christian	True		2	67	-2
