	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p02	45	PhD	Suzan	Female	p02	189.5265360684945	283.66642433437477	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		4	45	-2
p90	61	Bachelor Degree	Tracy	Female	p90	512.2502080597014	52.03209233282794	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		3	61	2
p58	52	Law Degree	Bill	Male	p58	337.5067620022052	162.86228148855807	Himes	Lawyer	Democrat	0	-2	2	2	3	2	2	9	Christian	True		0	52	0
p06	50	Law Degree	Robert	Male	p06	286.3713179709123	112.92567821167677	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		3	50	1
p52	40	Master Degree	Thomas	Male	p52	91.98939390568438	272.764254330125	Standley	Career Politician	Democrat	-2	-1	1	2	3	2	2	10	Unaffiliated	True		2	40	-2
p79	56	Master Degree	Maurice	Male	p79	414.957448890937	277.565561905626	Trevino	Educator	Democrat	-2	0	2	1	1	2	3	13	Hindu	True		0	56	-2
p78	51	Bachelor Degree	Megan	Female	p78	323.1379267471859	179.23275675903565	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		5	51	0
p24	63	Bachelor Degree	Barbara	Female	p24	547.7242879383125	162.5973527384866	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		2	63	0
p28	59	Law Degree	Vera	Female	p28	481.14308206030336	215.80739535176713	Garcia	Career Politician	Democrat	-1	-1	1	2	1	3	2	7	Christian	True		11	59	-1
p48	64	Master Degree	Judy	Female	p48	579.0130855833957	221.68057759017879	Davis	Educator	Democrat	-1	-2	1	3	2	0	3	3	Christian	True		4	64	-1
