	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p90	61	Bachelor Degree	Tracy	Female	p90	512.2502080597014	143.70917566616131	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		2	61	11
p02	45	PhD	Suzan	Female	p02	189.5265360684945	276.61434100104145	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		4	45	5
p44	65	Master Degree	Mary	Female	p44	587.0983591496046	181.6625662132284	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		2	65	9
p78	51	Bachelor Degree	Megan	Female	p78	323.1379267471859	221.54525675903565	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		7	51	8
p66	64	Associate Degree	Lynda	Female	p66	577.2517466054985	90.42415169506526	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		2	64	14
p46	48	PhD	Douglas	Male	p46	256.926964846552	195.93570540451168	Schulte	Engineer	Republican	1	2	-2	-2	-2	-3	-3	9	Christian	True		1	48	9
p92	63	Law Degree	Christopher	Male	p92	304.71090150430666	269.6043831947924	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		1	-1	5
p19	63	Law Degree	David	Male	p19	891.650998079616	121.05011914058372	Price	Career Politician	Republican	3	1	-2	-2	-1	-2	-1	11	Christian	True		1	3	63
p58	52	Law Degree	Bill	Male	p58	446.0400953355386	204.23450371078027	Himes	Lawyer	Democrat	0	-2	2	2	3	2	2	9	Christian	True		0	0	52
p35	49	Law Degree	Thomas	Male	p35	-2.5162204958807304	232.32126605596227	Tran	Lawyer	Democrat	-3	-3	1	2	1	2	2	7	Christian	True		4	-3	49
