	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p12	61	Master Degree	Sophia	Female	p12	-7.311476938441414	220.0803978448457	Crandle	Business	Democrat	-3	-3	1	2	2	3	2	8	Christian	True		2	-3	8
p07	58	Law Degree	Christopher	Male	p07	-3.3541749813849715	216.38610909896025	Labrum	Educator	Democrat	-3	-1	3	1	3	2	1	8	Christian	True		2	-3	8
p81	51	Law Degree	Tyrone	Male	p81	3.5529420439365476	189.73767487283672	Sadowski	Business	Democrat	-3	-2	2	2	2	0	3	9	Christian	True		1	-3	9
p30	53	Law Degree	John	Male	p30	7.118303566909527	132.9456264756428	Johnson	Career Politician	Democrat	-3	-2	2	3	1	2	2	12	Christian	True		1	-3	12
p90	61	Bachelor Degree	Tracy	Female	p90	739.1835413930348	221.282092332828	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		1	2	-1
p66	64	Associate Degree	Lynda	Female	p66	300.9850799388319	62.21581836173189	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		1	-1	2
p65	67	Master Degree	Ernestine	Female	p65	291.0498446640724	55.229414153118014	Livengood	Educator	Democrat	-1	-2	2	2	3	2	2	8	Christian	True		0	-1	2
p44	65	Master Degree	Mary	Female	p44	143.09835914960453	-8.743683786771626	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		1	-2	3
p58	52	Law Degree	Bill	Male	p58	446.0400953355386	204.23450371078027	Himes	Lawyer	Democrat	0	-2	2	2	3	2	2	9	Christian	True		2	0	52
p69	60	Master Degree	Richard	Male	p69	739.3868150884769	3.4891242646385856	Youd	Business	Republican	2	1	-3	-2	-2	-2	-2	18	Christian	True		0	2	18
