	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p12	61	Master Degree	Sophia	Female	p12	505.7551897282252	347.0178978448457	Crandle	Business	Democrat	-3	-3	1	2	2	3	2	8	Christian	True		0	61	-3
p02	45	PhD	Suzan	Female	p02	189.5265360684945	57.99975766770807	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		2	45	2
p08	57	Bachelor Degree	Ronnie	Male	p08	892.4395627726386	345.6459445151546	Black	Educator	Democrat	-3	-1	1	2	2	3	1	12	Christian	True		1	3	-3
p79	56	Master Degree	Maurice	Male	p79	740.5574488909369	277.565561905626	Trevino	Educator	Democrat	-2	0	2	1	1	2	3	13	Hindu	True		1	2	-2
p82	58	Law Degree	David	Male	p82	730.9814523130366	283.49983866053367	Gatewood	Lawyer	Democrat	-2	-1	3	2	2	2	2	8	Mormon	True		1	2	-2
p28	59	Law Degree	Vera	Female	p28	481.14308206030336	222.85947868510044	Garcia	Career Politician	Democrat	-1	-1	1	2	1	3	2	7	Christian	True		7	59	7
p20	75	Law Degree	Tresa	Female	p20	785.8749530251954	247.43706480301663	Burrowes	Career Politician	Democrat	-2	-3	2	1	3	2	1	6	Christian	True		4	75	6
p92	63	Law Degree	Christopher	Male	p92	561.24423483764	269.6043831947924	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		7	63	5
p37	55	Law Degree	Charles	Male	p37	403.2458104975385	248.28535688654569	Torbett	Lawyer	Republican	1	1	-1	-2	-2	-1	-2	6	Christian	True		0	55	6
p44	65	Master Degree	Mary	Female	p44	587.0983591496046	181.6625662132284	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		7	65	9
