	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p12	61	Master Degree	Sophia	Female	p12	-7.311476938441414	64.93456451151233	Crandle	Business	Democrat	-3	-3	1	2	2	3	2	8	Christian	True		0	-3	2
p20	75	Law Degree	Tresa	Female	p20	144.5416196918621	106.39539813634997	Burrowes	Career Politician	Democrat	-2	-3	2	1	3	2	1	6	Christian	True		1	-2	1
p02	45	PhD	Suzan	Female	p02	140.19320273516118	170.83309100104142	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		0	-2	0
p84	65	Bachelor Degree	Matthew	Male	p84	303.52040631903895	4.645459574557236	Williams	Business	Democrat	-1	-2	2	3	3	2	2	4	Mormon	True		0	-1	3
p24	63	Bachelor Degree	Barbara	Female	p24	439.1909546049792	49.76401940515321	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		0	0	2
p29	46	Law Degree	Robert	Male	p29	153.01371894449326	1.1492558298284148	Rodriquez	Lawyer	Democrat	-2	-2	2	3	1	0	2	8	Christian	True		0	-2	3
p36	54	Law Degree	Archie	Male	p36	749.8461552375823	220.80068233716437	Metcalf	Judge	Republican	2	1	-3	-1	-1	-2	-2	6	Christian	True		1	2	-1
p77	74	Bachelor Degree	Jimmy	Male	p77	157.70093535926156	56.30041687011975	Horrigan	Business	Democrat	-2	-1	1	2	2	2	1	10	Christian	True		0	-2	2
p87	64	Bachelor Degree	Tim	Male	p87	601.4725887616911	229.05399602625283	Guttirez	Military	Republican	1	1	-2	-1	0	-2	-2	15	Christian	True		1	1	-1
p44	65	Master Degree	Mary	Female	p44	143.09835914960453	-8.743683786771626	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		6	-2	3
