	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p90	61	Bachelor Degree	Tracy	Female	p90	512.2502080597014	143.70917566616131	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		0	61	11
p02	45	PhD	Suzan	Female	p02	189.5265360684945	276.61434100104145	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		0	45	5
p44	65	Master Degree	Mary	Female	p44	587.0983591496046	181.6625662132284	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		1	65	9
p30	53	Law Degree	John	Male	p30	562.1183035669095	6.008126475642804	Johnson	Career Politician	Democrat	-3	-2	2	3	1	2	2	12	Christian	True		0	12	3
p62	66	Bachelor Degree	Tara	Female	p62	160.263526683391	159.94845279591726	Bohr	Career Politician	Democrat	-1	-3	1	0	2	0	1	5	Christian	True		0	5	0
p34	36	Law Degree	James	Male	p34	18.044441912372903	-5.551054495346859	Horn	Judge	Democrat	-2	-1	3	1	1	3	2	7	Christian	True		1	36	3
p98	69	Master Degree	George	Male	p98	674.551816099911	333.57274873197514	Houser	Business	Republican	2	1	-3	-2	-2	-2	-2	8	Christian	True		0	69	-3
p26	46	Master Degree	Paul	Male	p26	219.80444692561716	333.8014708649619	Carlile	Business	Republican	3	3	-3	-3	-1	-3	-1	9	Christian	True		3	46	-3
p21	76	Law Degree	Elizabeth	Female	p21	814.751735305288	103.20712188686167	Mcmorris	Lawyer	Democrat	-1	-3	1	3	2	3	3	5	Christian	True		3	76	1
p24	63	Bachelor Degree	Barbara	Female	p24	661.1909546049792	162.5973527384866	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		6	14	0
