	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p24	63	Bachelor Degree	Barbara	Female	p24	556.1909546049792	155.0973527384866	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		0	14	0
p23	45	Bachelor Degree	Benny	Male	p23	607.0030874778419	273.4931200477742	Burns	Business	Democrat	-2	-3	2	1	3	2	3	15	Christian	True		0	15	-2
p47	53	Associate Degree	Clyde	Male	p47	319.6441587133599	50.26321801421939	Hill	Business	Republican	2	3	-2	-3	-2	-2	-1	9	Christian	True		0	9	2
p62	66	Bachelor Degree	Tara	Female	p62	134.013526683391	206.36511946258395	Bohr	Career Politician	Democrat	-1	-3	1	0	2	0	1	5	Christian	True		1	5	-1
p69	60	Master Degree	Richard	Male	p69	747.3868150884769	57.40579093130521	Youd	Business	Republican	2	1	-3	-2	-2	-2	-2	18	Christian	True		0	18	2
p95	49	Law Degree	Jeffrey	Male	p95	232.70038313909123	206.72542580304534	Thompson	Judge	Democrat	-1	-2	3	2	2	1	1	8	Christian	True		1	49	-1
p78	51	Bachelor Degree	Megan	Female	p78	273.3601489694081	171.73275675903565	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		5	51	0
p06	50	Law Degree	Robert	Male	p06	239.70465130424563	107.92567821167677	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		3	50	1
p52	40	Master Degree	Thomas	Male	p52	76.43383835012882	260.264254330125	Standley	Career Politician	Democrat	-2	-1	1	2	3	2	2	10	Unaffiliated	True		2	40	-2
p66	64	Associate Degree	Lynda	Female	p66	487.0295243832764	221.46581836173195	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		1	64	-1
