	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p78	51	Bachelor Degree	Megan	Female	p78	451.4045934138525	228.1272012034801	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		1	0	51
p23	45	Bachelor Degree	Benny	Male	p23	720.7530874778419	267.18756449221866	Burns	Business	Democrat	-2	-3	2	1	3	2	3	15	Christian	True		0	15	45
p64	65	Law Degree	Johnny	Male	p64	598.1448030534189	61.381748596207316	Clark	Business	Republican	2	2	-3	-3	-2	1	-2	12	Christian	True		0	1	2
p100	63	Medical Degree	Jeffrey	Male	p100	549.982837580059	9.931413460979533	Gohn	Doctor	Republican	3	1	-1	-2	-3	-2	-1	7	Christian	True		2	63	3
p02	45	PhD	Suzan	Female	p02	732.1932027351612	264.8608687788192	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		1	2	45
p18	54	Medical Degree	George	Male	p18	153.0688144125388	202.14699785060088	Salvemini	Educator	Republican	1	3	-3	-2	-1	-2	-3	9	Christian	True		1	-2	54
p39	60	Law Degree	Martin	Male	p39	590.6986905100988	277.8592481777823	Robinson	Career Politician	Republican	2	1	-3	-3	-1	1	-2	8	Christian	True		0	1	-2
p92	63	Law Degree	Christopher	Male	p92	304.71090150430666	122.45091097257014	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		2	-1	63
p34	36	Law Degree	James	Male	p34	886.3111085790396	325.4267232824309	Horn	Judge	Democrat	-2	-1	3	1	1	3	2	7	Christian	True		1	3	36
p94	46	High School	Pedro	Male	p94	303.76968161100194	263.8246616342816	Kitchens	Farmer	Democrat	-1	-2	1	2	2	0	2	8	Christian	True		3	-1	46
