	age	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p100	59	Blanche	Female	p100	390.42565301275226	135.27476325908225	Mcguire	Business	Republican	Neutral	7	Christian	True		0	Neutral	Female
p106	49	Betty	Female	p106	412.22486563775044	104.80843307098124	Carr	Career Politician	Republican	Neutral	8	Jewish	True		0	Neutral	Female
p066	46	Carey	Female	p066	399.76593106718457	101.09596974851027	Nguyen	Business	Democrat	Neutral	7	Christian	True		0	Neutral	Female
p075	68	Hilda	Female	p075	375.28310457217844	88.85203859870855	Barger	Lawyer	Republican	Neutral	7	Christian	True		0	Neutral	Female
p073	57	Gail	Female	p073	349.8241647816051	79.83249710933836	Hodges	Lawyer	Democrat	Neutral	10	Christian	True		0	Neutral	Female
p111	69	Leon	Male	p111	411.0607039634768	260.75935947905464	Buchanan	Educator	Republican	Neutral	9	Christian	True		0	Neutral	Male
p080	62	John	Male	p080	395.9071817121904	266.42616220111245	Rudish	Lawyer	Democrat	Neutral	15	Christian	True		0	Neutral	Male
p094	54	Don	Male	p094	374.5149815475609	286.0514213959388	Wright	Lawyer	Democrat	Neutral	13	Muslim	True		0	Neutral	Male
p134	44	James	Male	p134	397.0282999467866	297.45564747703713	Smith	Business	Democrat	Neutral	11	Christian	True		0	Neutral	Male
p001	52	George	Male	p001	410.6032951446019	300.21280016967023	Bowen	Lawyer	Democrat	Neutral	4	Jewish	True		0	Neutral	Male
