	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p52	40	Master Degree	Thomas	Male	p52	91.98939390568438	159.93092099679168	Standley	Career Politician	Democrat	-2	-1	1	2	3	2	2	10	Unaffiliated	True		0	40	10
p69	60	Master Degree	Richard	Male	p69	492.7201484218103	3.4891242646385856	Youd	Business	Republican	2	1	-3	-2	-2	-2	-2	18	Christian	True		1	60	18
p60	63	Master Degree	William	Male	p60	300.04439576630074	129.58229913696556	Fan	Career Politician	Republican	1	3	-2	-1	0	-3	-1	12	Christian	True		1	-1	12
p97	53	Law Degree	Scott	Male	p97	584.399899146871	131.26829046637505	Mcdaniel	Judge	Democrat	-1	-2	1	1	2	1	2	12	Christian	True		1	1	12
p66	64	Associate Degree	Lynda	Female	p66	448.9850799388319	90.42415169506526	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		1	0	14
p06	50	Law Degree	Robert	Male	p06	434.3713179709123	190.49859487834343	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		2	0	9
p53	59	Master Degree	Dylan	Male	p53	590.0659535378988	118.89811285646901	Holt	Career Politician	Republican	1	1	-2	-2	-2	-1	-2	12	Christian	True		3	1	12
p38	58	Law Degree	Darrell	Male	p38	286.54972120100615	186.1727345800695	Langford	Career Politician	Democrat	-1	-1	3	1	3	1	2	9	Christian	True		3	-1	9
p95	49	Law Degree	Jeffrey	Male	p95	591.9892720279801	202.62125913637865	Thompson	Judge	Democrat	-1	-2	3	2	2	1	1	8	Christian	True		2	1	8
p90	61	Bachelor Degree	Tracy	Female	p90	295.18354139303483	143.70917566616131	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		5	-1	11
