	age	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p142	34	Laura	Female	p142	592.9918888812986	224.56620832694838	Helfritz	Doctor	Democrat	In Favor	12	Christian	True		1	Democrat	Doctor
p106	49	Betty	Female	p106	193.20237726570278	132.26995394554515	Carr	Career Politician	Republican	Neutral	8	Jewish	True		3	Republican	Female
p023	54	Sam	Male	p023	586.4620798204469	292.93465989774097	Gardner	Lawyer	Democrat	Opposed	11	Christian	True		0	Democrat	Male
p094	54	Don	Male	p094	567.8315077684096	303.59004412736994	Wright	Lawyer	Democrat	Neutral	13	Muslim	True		3	Democrat	Male
p116	51	Candy	Female	p116	577.9626562724977	110.53969056445055	Oller	Educator	Democrat	Opposed	15	Christian	True		1	Democrat	Female
p089	79	Mabel	Female	p089	691.9432473952553	96.68118705785511	Evans	Career Politician	Republican	In Favor	5	Christian	True		4	79	Female
p123	57	Johanna	Female	p123	239.14020182571667	68.91604305064033	Sprague	Career Politician	Republican	Opposed	4	Unaffiliated	True		6	Republican	Female
p022	58	Ricky	Male	p022	592.5763894662241	261.8675328710132	Altro	Career Politician	Democrat	Opposed	11	Christian	True		0	Democrat	Male
p006	67	Joseph	Male	p006	206.90113995817325	381.78839098278286	Hayes	Educator	Republican	In Favor	2	Christian	True		3	Republican	2
p058	40	Martin	Male	p058	245.73269217389296	356.681868744739	Adkins	Doctor	Republican	In Favor	1	Christian	True		2	Republican	1
