	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p90	61	Bachelor Degree	Tracy	Female	p90	512.2502080597014	143.70917566616131	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		0	61	11
p02	45	PhD	Suzan	Female	p02	189.5265360684945	276.61434100104145	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		0	45	5
p34	36	Law Degree	James	Male	p34	18.044441912372903	-5.551054495346859	Horn	Judge	Democrat	-2	-1	3	1	1	3	2	7	Christian	True		1	36	3
p21	76	Law Degree	Elizabeth	Female	p21	814.751735305288	103.20712188686167	Mcmorris	Lawyer	Democrat	-1	-3	1	3	2	3	3	5	Christian	True		3	76	1
p24	63	Bachelor Degree	Barbara	Female	p24	661.1909546049792	162.5973527384866	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		6	14	0
p100	63	Medical Degree	Jeffrey	Male	p100	549.982837580059	292.0147467943128	Gohn	Doctor	Republican	3	1	-1	-2	-3	-2	-1	7	Christian	True		2	63	-2
p48	64	Master Degree	Judy	Female	p48	579.0130855833957	313.35766092351207	Davis	Educator	Democrat	-1	-2	1	3	2	0	3	3	Christian	True		4	64	3
p06	50	Law Degree	Robert	Male	p06	286.3713179709123	190.49859487834343	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		4	50	9
p57	60	Law Degree	Robert	Male	p57	489.70123661110335	140.0482066767999	Valadez	Judge	Republican	3	2	-1	-2	-2	-1	-2	11	Christian	True		3	60	11
p65	67	Master Degree	Ernestine	Female	p65	626.516511330739	210.37524748645137	Livengood	Educator	Democrat	-1	-2	2	2	3	2	2	8	Christian	True		1	67	8
