	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p02	45	PhD	Suzan	Female	p02	189.5265360684945	283.66642433437477	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		0	45	-2
p45	37	Bachelor Degree	Michael	Male	p45	45.731436631271855	58.147218015482046	Phillips	Business	Republican	2	1	-2	-2	-2	-1	-2	10	Christian	True		1	37	2
p06	50	Law Degree	Robert	Male	p06	286.3713179709123	112.92567821167677	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		0	50	1
p23	45	Bachelor Degree	Benny	Male	p23	720.7530874778419	285.9931200477742	Burns	Business	Democrat	-2	-3	2	1	3	2	3	15	Christian	True		1	15	-2
p92	63	Law Degree	Christopher	Male	p92	156.71090150430666	220.23979986145906	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		1	-2	-1
p89	59	Bachelor Degree	Dale	Male	p89	8.324119995795616	225.12215790628787	Draper	Business	Republican	-1	2	-3	-2	-3	-3	-2	6	Christian	True		0	-3	-1
p90	61	Bachelor Degree	Tracy	Female	p90	147.18354139303486	52.03209233282794	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		0	-2	2
p66	64	Associate Degree	Lynda	Female	p66	448.9850799388319	231.46581836173195	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		0	0	-1
p78	51	Bachelor Degree	Megan	Female	p78	599.4045934138526	179.23275675903565	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		1	1	0
p24	63	Bachelor Degree	Barbara	Female	p24	661.1909546049792	162.5973527384866	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		6	14	0
