	age	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p071	52	Steve	Male	p071	196.7853663984409	255.3483308684543	Herzog	Educator	Democrat	Opposed	11	Christian	True		0	Male	52
p082	38	Elizabeth	Female	p082	512.9929523377173	339.7253467368787	Guevara	Lawyer	Democrat	Opposed	9	Christian	True		1	Female	38
p043	58	Ann	Female	p043	506.16406182521035	164.8537422187519	Colvin	Lawyer	Democrat	Opposed	12	Hindu	True		0	Female	58
p093	51	Hattie	Female	p093	515.8249283672562	279.785501782222	Taylor	Business	Democrat	Opposed	7	Christian	True		0	Female	51
p051	53	Jackie	Female	p051	601.0577007127355	0.5269775675528715	Nooner	Scientist	Democrat	Opposed	16	Christian	True		0	Opposed	16
p135	54	Edward	Male	p135	649.6039254462628	9.827043022639502	Mcdowell	Lawyer	Democrat	Opposed	16	Christian	True		0	Opposed	16
p116	51	Candy	Female	p116	586.4188365005909	19.866311863129525	Oller	Educator	Democrat	Opposed	15	Christian	True		0	Opposed	15
p087	34	Howard	Male	p087	592.5713215007464	372.1522390618382	Rundle	Lawyer	Democrat	Opposed	11	Christian	True		0	Opposed	34
p018	44	Jeffrey	Male	p018	608.5289951012376	356.2103098352682	Reid	Business	Democrat	Opposed	12	Christian	True		1	Opposed	44
p003	55	Betty	Female	p003	643.3696614200776	8.923372106226019	Sanchez	Career Politician	Democrat	Opposed	14	Jewish	True		1	Opposed	14
