	age	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p141	45	Judith	Female	p141	680.0798097860661	121.16820490227046	Carraway	Lawyer	Democrat	Opposed	6	Muslim	True		0	Female	Opposed
p004	68	Donald	Male	p004	405.99722222037224	95.59507300816429	Nadal	Doctor	Democrat	Opposed	7	Christian	True		0	Doctor	Opposed
p082	38	Elizabeth	Female	p082	80.59037480414578	43.957674995892404	Guevara	Lawyer	Democrat	Opposed	9	Christian	True		8	Christian	Opposed
p051	53	Jackie	Female	p051	875.9235008279389	81.55333919314157	Nooner	Scientist	Democrat	Opposed	16	Christian	True		8	16	Opposed
p087	34	Howard	Male	p087	611.8676307652313	99.64294358294468	Rundle	Lawyer	Democrat	Opposed	11	Christian	True		5	11	Opposed
p123	57	Johanna	Female	p123	265.86619587589615	128.66870331869592	Sprague	Career Politician	Republican	Opposed	4	Unaffiliated	True		4	4	Opposed
p055	75	Charlie	Male	p055	687.3315962601722	74.37655103548329	Johnson	Business	Democrat	Opposed	12	Christian	True		1	12	Opposed
p135	54	Edward	Male	p135	843.7577350058983	63.258919915991264	Mcdowell	Lawyer	Democrat	Opposed	16	Christian	True		3	16	Opposed
p069	65	Kasey	Male	p069	439.7847538522899	99.79487383595142	Gonzales	Business	Democrat	Opposed	8	Christian	True		1	8	Opposed
p077	63	Barbara	Female	p077	289.10375876733315	89.30735585626297	Bushnell	Lawyer	Democrat	Opposed	5	Christian	True		1	5	Opposed
