	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p02	45	PhD	Suzan	Female	p02	189.5265360684945	276.61434100104145	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		0	45	5
p54	58	PhD	Lloyd	Male	p54	448.150496864371	247.11254163104852	Powell	Engineer	Democrat	-1	-2	1	2	2	2	1	6	Christian	True		1	58	6
p78	51	Bachelor Degree	Megan	Female	p78	323.1379267471859	221.54525675903565	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		0	51	8
p66	64	Associate Degree	Lynda	Female	p66	577.2517466054985	90.42415169506526	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		0	64	14
p65	67	Master Degree	Ernestine	Female	p65	626.516511330739	280.8960808197847	Livengood	Educator	Democrat	-1	-2	2	2	3	2	2	8	Christian	True		0	67	-2
p79	56	Master Degree	Maurice	Male	p79	414.957448890937	164.7322285722927	Trevino	Educator	Democrat	-2	0	2	1	1	2	3	13	Hindu	True		0	56	0
p48	64	Master Degree	Judy	Female	p48	579.0130855833957	278.0972442568454	Davis	Educator	Democrat	-1	-2	1	3	2	0	3	3	Christian	True		2	64	-2
p90	61	Bachelor Degree	Tracy	Female	p90	887.1835413930348	52.03209233282794	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		5	3	2
p12	61	Master Degree	Sophia	Female	p12	-7.311476938441414	347.0178978448457	Crandle	Business	Democrat	-3	-3	1	2	2	3	2	8	Christian	True		1	-3	-3
p21	76	Law Degree	Elizabeth	Female	p21	5.685068638621331	216.040455220195	Mcmorris	Lawyer	Democrat	-1	-3	1	3	2	3	3	5	Christian	True		1	-3	-1
