	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p90	61	Bachelor Degree	Tracy	Female	p90	512.2502080597014	138.53764788838356	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		11	61	61
p52	40	Master Degree	Thomas	Male	p52	91.98939390568438	291.5698098856806	Standley	Career Politician	Democrat	-2	-1	1	2	3	2	2	10	Unaffiliated	True		2	40	40
p02	45	PhD	Suzan	Female	p02	189.5265360684945	264.8608687788192	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		1	45	45
p06	50	Law Degree	Robert	Male	p06	286.3713179709123	225.7590115450101	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		4	50	50
p93	54	Law Degree	Otis	Male	p93	378.23222509511885	200.67677971378507	Mcallen	Judge	Democrat	-2	-2	0	2	2	2	1	9	Christian	True		6	54	54
p12	61	Master Degree	Sophia	Female	p12	505.7551897282252	151.44012006706794	Crandle	Business	Democrat	-3	-3	1	2	2	3	2	8	Christian	True		1	61	61
p33	48	Medical Degree	Garret	Male	p33	266.19232798936554	240.84823043391543	Moran	Doctor	Republican	2	2	-3	-2	-1	-2	-2	5	Christian	True		8	48	48
p21	76	Law Degree	Elizabeth	Female	p21	814.751735305288	20.462677442417228	Mcmorris	Lawyer	Democrat	-1	-3	1	3	2	3	3	5	Christian	True		4	76	76
p24	63	Bachelor Degree	Barbara	Female	p24	547.7242879383125	121.22513051626434	Stagliano	Career Politician	Democrat	0	-2	1	2	3	3	2	14	Christian	True		9	63	63
p86	56	Master Degree	Anthony	Male	p86	404.42621834629176	173.8473488626807	Thompson	Educator	Republican	1	2	-1	-2	-1	-2	-2	13	Jewish	True		1	56	56
