	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p66	64	Associate Degree	Lynda	Female	p66	577.2517466054985	90.42415169506526	Price	Business	Democrat	-1	-2	1	2	2	0	2	14	Jewish	True		0	64	14
p90	61	Bachelor Degree	Tracy	Female	p90	739.1835413930348	277.69875899949466	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		5	2	-2
p44	65	Master Degree	Mary	Female	p44	143.09835914960453	-8.743683786771626	Hardy	Business	Democrat	-2	-3	3	3	2	1	2	9	Christian	True		2	-2	3
p02	45	PhD	Suzan	Female	p02	140.19320273516118	114.41642433437478	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		5	-2	1
p92	63	Law Degree	Christopher	Male	p92	304.71090150430666	50.989799861459	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		3	-1	2
p89	59	Bachelor Degree	Dale	Male	p89	304.3241199957956	55.8721579062878	Draper	Business	Republican	-1	2	-3	-2	-3	-3	-2	6	Christian	True		4	-1	2
p81	51	Law Degree	Tyrone	Male	p81	3.5529420439365476	-0.6685751271632673	Sadowski	Business	Democrat	-3	-2	2	2	2	0	3	9	Christian	True		5	-3	3
p09	46	Master Degree	Steve	Male	p09	-8.265195324889596	58.003919027193184	Bragg	Career Politician	Democrat	-3	-1	1	2	2	1	2	5	Christian	True		0	-3	2
p23	45	Bachelor Degree	Benny	Male	p23	720.7530874778419	3.909786714440902	Burns	Business	Democrat	-2	-3	2	1	3	2	3	15	Christian	True		0	15	3
p45	37	Bachelor Degree	Michael	Male	p45	302.2647699646052	114.56388468214875	Phillips	Business	Republican	2	1	-2	-2	-2	-1	-2	10	Christian	True		7	-1	1
