	age	education	first_name	gender	id	jitter_x	jitter_y	last_name	occupation	party	policy_strength_ban_abortion_after_6_weeks	policy_strength_ban_alcohol_sales_on_sundays	policy_strength_budget_for_free_school_lunch_program	policy_strength_increase_budget_for_medicare_coverage	policy_strength_increase_budget_for_veterans_affairs	policy_strength_increase_gun_control_legislation	policy_strength_legalize_medical_marijuana	political_experience	religion	selected	sizeVar	timesVisited	xVar	yVar
p34	36	Law Degree	James	Male	p34	886.3111085790396	325.4267232824309	Horn	Judge	Democrat	-2	-1	3	1	1	3	2	7	Christian	True		3	3	36
p92	63	Law Degree	Christopher	Male	p92	304.71090150430666	122.45091097257014	Goodman	Judge	Republican	-1	2	0	-1	-1	-2	-2	5	Jewish	True		1	-1	63
p90	61	Bachelor Degree	Tracy	Female	p90	739.1835413930348	138.53764788838356	Boulerice	Business	Republican	2	3	-2	-1	-2	-2	-1	11	Mormon	True		0	2	61
p78	51	Bachelor Degree	Megan	Female	p78	451.4045934138525	228.1272012034801	Dye	Business	Democrat	0	-2	1	2	2	1	1	8	Christian	True		1	0	51
p02	45	PhD	Suzan	Female	p02	140.19320273516118	264.8608687788192	Baldwin	Engineer	Democrat	-2	-1	1	0	3	2	3	5	Jewish	True		1	-2	45
p89	59	Bachelor Degree	Dale	Male	p89	304.3241199957956	157.42215790628785	Draper	Business	Republican	-1	2	-3	-2	-3	-3	-2	6	Christian	True		2	-1	59
p99	39	Master Degree	Terrence	Male	p99	737.5605026681161	313.0571205511104	Rodriguez	Career Politician	Republican	2	2	-2	-1	-1	-2	-1	7	Christian	True		1	2	39
p06	50	Law Degree	Robert	Male	p06	582.3713179709123	225.7590115450101	Blair	Judge	Republican	1	2	-2	-1	0	0	-2	9	Muslim	True		0	1	50
p58	52	Law Degree	Bill	Male	p58	446.0400953355386	204.23450371078027	Himes	Lawyer	Democrat	0	-2	2	2	3	2	2	9	Christian	True		1	0	52
p52	40	Master Degree	Thomas	Male	p52	141.32272723901772	291.5698098856806	Standley	Career Politician	Democrat	-2	-1	1	2	3	2	2	10	Unaffiliated	True		0	-2	40
